feature,abs_spearman_ic,selected
lag1_log_rv_HYG,0.5905364606327148,True
lag1_log_rv_UUP,0.35598878937543044,True
lag1_log_rv_GLD,0.30309402425616033,True
lag5_cumret_TLT,0.24701297167490108,True
lag1_log_rv_TLT,0.22512356319414958,True
lag5_cumret_HYG,0.1706759912003697,True
lag1_ret_TLT,0.10781623572605474,True
lag5_cumret_GLD,0.10639384125220021,True
lag5_cumret_UUP,0.07695634851674318,False
lag1_ret_UUP,0.05425090875524034,False
lag1_ret_HYG,0.053497334473754835,False
lag1_ret_GLD,0.01764172322423067,False
